,iteration,frac,roi,roi_train,roi_cross,train_var,cross_var
0,0,0.1,rh_ant_shape_patch_jeeves,0.4144444444444444,0.16844444444444445,0.020367003088692624,0.10172244978431977
1,0,0.1,rh_PP_jeeves,0.4155555555555555,0.06177777777777778,0.050356751971665156,0.04030500995112759
2,0,0.1,rh_AM_face_patch_jeeves,0.39,0.17911111111111114,0.04573136806057038,0.09349826696750013
3,0,0.1,rh_mid_CBR_jeeves,0.39666666666666667,0.04755555555555556,0.025482988758177144,0.065945731523525
4,0,0.1,rh_post_face_patch_jeeves,0.41666666666666663,0.0848888888888889,0.02788866755113586,0.06345446505804354
5,0,0.1,rh_mid_face_patch_jeeves,0.39444444444444443,0.08666666666666667,0.03751542892474253,0.04532461789860252
6,0,0.1,rh_post_shape_patch_jeeves,0.3877777777777778,0.1968888888888889,0.033957126199858044,0.064
7,0,0.1,rh_mid_shape_patch_jeeves,0.42666666666666664,0.172,0.021773242158072692,0.07638240376512298
8,0,0.1,rh_AP_jeeves,0.45444444444444443,0.1542222222222222,0.01905158688831361,0.036692919894311636
9,0,0.1,rh_post_CBR_jeeves,0.3711111111111111,0.15066666666666667,0.033407325285273126,0.019796495512284525
10,0,0.1,rh_ant_face_patch_jeeves,0.34222222222222226,0.13644444444444445,0.012957670877433996,0.0625009629555447
11,0,0.1,rh_ant_CBR_jeeves,0.45555555555555555,0.20222222222222222,0.022771001702132435,0.08525922708111501
0,1,0.1,rh_ant_shape_patch_jeeves,0.5255555555555557,0.12755555555555556,0.03095197394929804,0.031602469039344314
1,1,0.1,rh_PP_jeeves,0.4377777777777778,0.18444444444444447,0.019688939051854825,0.10872095894343575
2,1,0.1,rh_AM_face_patch_jeeves,0.43888888888888894,0.18977777777777777,0.03239417719358501,0.05078349104741581
3,1,0.1,rh_mid_CBR_jeeves,0.4655555555555555,0.10266666666666666,0.023934065809486694,0.057716206509325955
4,1,0.1,rh_post_face_patch_jeeves,0.4377777777777777,0.17022222222222222,0.025190631219454744,0.07079931645063067
5,1,0.1,rh_mid_face_patch_jeeves,0.4922222222222222,0.13822222222222222,0.058012344365362734,0.08402703856424157
6,1,0.1,rh_post_shape_patch_jeeves,0.4177777777777778,0.1328888888888889,0.041928805031362676,0.044051597131960406
7,1,0.1,rh_mid_shape_patch_jeeves,0.43888888888888894,0.22177777777777777,0.0483045891539648,0.06320493807868864
8,1,0.1,rh_AP_jeeves,0.5011111111111111,0.05822222222222223,0.03950308629918039,0.06778907009755597
9,1,0.1,rh_post_CBR_jeeves,0.4255555555555556,0.21466666666666664,0.02066786137526475,0.08197078672638937
10,1,0.1,rh_ant_face_patch_jeeves,0.3977777777777778,0.15777777777777782,0.05617433182117572,0.03935278865987317
11,1,0.1,rh_ant_CBR_jeeves,0.4288888888888889,0.12044444444444444,0.028631330503833614,0.08496215570025614
0,0,0.2,rh_ant_shape_patch_jeeves,0.3061111111111111,0.17377777777777775,0.014948471163415245,0.026158113723666075
1,0,0.2,rh_PP_jeeves,0.37333333333333335,0.2697777777777778,0.029428716973664497,0.04647792519964935
2,0,0.2,rh_AM_face_patch_jeeves,0.33555555555555555,0.18711111111111112,0.03316624790355402,0.020579265604960408
3,0,0.2,rh_mid_CBR_jeeves,0.35388888888888886,0.10355555555555558,0.011194134266449938,0.053436936409561375
4,0,0.2,rh_post_face_patch_jeeves,0.3038888888888889,0.11955555555555555,0.022879178091082225,0.024601515561063186
5,0,0.2,rh_mid_face_patch_jeeves,0.3111111111111111,0.13111111111111112,0.02337298218662514,0.03180185567999701
6,0,0.2,rh_post_shape_patch_jeeves,0.3055555555555555,0.16311111111111112,0.03365584717969102,0.03537733109712427
7,0,0.2,rh_mid_shape_patch_jeeves,0.31333333333333335,0.1328888888888889,0.01837537267615692,0.05859928790702048
8,0,0.2,rh_AP_jeeves,0.3311111111111111,0.10622222222222222,0.019515742300278107,0.027194770739161513
9,0,0.2,rh_post_CBR_jeeves,0.35611111111111116,0.2137777777777778,0.02118408440548623,0.061365531001220296
10,0,0.2,rh_ant_face_patch_jeeves,0.27722222222222226,0.1711111111111111,0.017338318371474704,0.025453904112491293
11,0,0.2,rh_ant_CBR_jeeves,0.31333333333333335,0.16755555555555557,0.0295229561235254,0.05742800108520211
0,1,0.2,rh_ant_shape_patch_jeeves,0.35888888888888887,0.1791111111111111,0.024177839052209944,0.028994678098311275
1,1,0.2,rh_PP_jeeves,0.3455555555555555,0.21822222222222226,0.02638742686008426,0.04657981335670719
2,1,0.2,rh_AM_face_patch_jeeves,0.28722222222222216,0.17555555555555558,0.009060836905722265,0.05399588461684423
3,1,0.2,rh_mid_CBR_jeeves,0.30166666666666664,0.13999999999999999,0.01681416216713506,0.03130100775406045
4,1,0.2,rh_post_face_patch_jeeves,0.33222222222222225,0.10888888888888888,0.024507494444569757,0.05311064620902989
5,1,0.2,rh_mid_face_patch_jeeves,0.31333333333333335,0.1595555555555556,0.01545603082582617,0.047752448066002824
6,1,0.2,rh_post_shape_patch_jeeves,0.3383333333333334,0.16311111111111112,0.01365356191938279,0.04879991904466063
7,1,0.2,rh_mid_shape_patch_jeeves,0.32222222222222224,0.16311111111111115,0.026352313834736497,0.040187216197181574
8,1,0.2,rh_AP_jeeves,0.3011111111111111,0.20577777777777775,0.01945237933334624,0.05783928350221312
9,1,0.2,rh_post_CBR_jeeves,0.3361111111111111,0.16399999999999998,0.020260647254233856,0.0405979990992684
10,1,0.2,rh_ant_face_patch_jeeves,0.31222222222222223,0.16755555555555557,0.018642179706180585,0.048147920227380764
11,1,0.2,rh_ant_CBR_jeeves,0.32722222222222225,0.24222222222222226,0.025962936545662056,0.10491148532494629
